OBJECTID,StaType,StnType,ZipCode,State,City,Address,Station Name,lon,lat,Code
651,Station Building (with waiting room),TRAIN,98513,WA,Lacey,6600 Yelm Highway SE,Olympia-Lacey,-122.794059,46.991273,OLW
652,Station Building (with waiting room),TRAIN,68108,NE,Omaha,1003 South 9th Street,Omaha,-95.92865,41.249828,OMA
653,Platform only (no shelter),TRAIN,91764,CA,Ontario,198 East Emporia Street,"Ontario, CA",-117.649569,34.061672,ONA
655,Platform only (no shelter),TRAIN,4064,ME,Old Orchard Beach,11 First Street,"Ormond Beach, FL",-70.376225,43.514326,ORB
656,Platform with Shelter,TRAIN,97045,OR,Oregon City,1757 Washington Street,"Orcutt, CA",-122.595925,45.366146,ORC
657,Station Building (with waiting room),TRAIN,32806,FL,Orlando,1400 Sligh Boulevard,Orlando,-81.381516,28.525926,ORL
660,Station Building (with waiting room),TRAIN,6475,CT,Old Saybrook,455 Boston Post Road,"Oshkosh, WI",-72.376818,41.30039,OSB
661,Station Building (with waiting room),TRAIN,50213,IA,Osceola,Main & East Clay Streets,Osceola,-93.764894,41.037116,OSC
662,Station Building (with waiting room),TRAIN,92054,CA,Oceanside,235 South Tremont Street,"Osage, IA",-117.37943,33.192515,OSD
666,Station Building (with waiting room),TRAIN,52501,IA,Ottumwa,210 West Main Street,Ottumwa,-92.414929,41.018815,OTM
669,Station Building (with waiting room),TRAIN,93030,CA,Oxnard,201 East Fourth Street,Oxnard,-119.175978,34.199241,OXN
671,Platform with Shelter,TRAIN,32177,FL,Palatka,220 North 11th Street,"Pahokee, FL",-81.640471,29.649734,PAK
672,Station Building (with waiting room),TRAIN,19301,PA,Paoli,13 Lancaster Avenue,Paoli,-75.48376,40.042754,PAO
673,Platform with Shelter,TRAIN,19365,PA,Parkesburg,501 Maple Street,"Parkersburg, WV",-75.922123,39.95918,PAR
675,Station Building (with waiting room),TRAIN,63901,MO,Poplar Bluff,400 South Main Street,Poplar Bluff,-90.393341,36.753995,PBF
677,Station Building (with waiting room),TRAIN,61356,IL,Princeton,107 Bicentennial Drive,"Princeton, NJ",-89.466815,41.385191,PCT
682,Station Building (with waiting room),TRAIN,97209,OR,Portland,800 NW Sixth Avenue,Portland Union Station,-122.676806,45.528724,PDX
685,Station Building (with waiting room),TRAIN,15222,PA,Pittsburgh,1100 Liberty Avenue,Union Station,-79.992307,40.444738,PGH
688,Station Building (with waiting room),TRAIN,19104,PA,Philadelphia,2955 Market Street,William H Gray III 30th St. Sta.,-75.181041,39.955615,PHL
689,Station Building (with waiting room),TRAIN,19132,PA,Philadelphia,2900 North Broad Street,North Philadelphia,-75.155114,39.99678,PHN
691,Station Building (with waiting room),TRAIN,39466,MS,Picayune,200 Highway 11 South,"Picayune, MS",-89.68026,30.524606,PIC
692,Station Building (with waiting room),TRAIN,1201,MA,Pittsfield,1 Columbus Avenue,Pittsfield,-73.2538,42.451558,PIT
694,Station Building (with waiting room),TRAIN,8550,NJ,Princeton Junction,2 Wallace Circle,Princeton Junction,-74.623976,40.31585,PJC
696,Station Building (with waiting room),TRAIN,12901,NY,Plattsburgh,Bridge and Dock Streets,Plattsburgh,-73.446284,44.696728,PLB
698,Station Building (with waiting room),TRAIN,60545,IL,Plano,101 West Main Street,"Plattsburgh, NY",-88.538272,41.662384,PLO
700,Platform with Shelter,TRAIN,94566,CA,Pleasanton,4950 Pleasanton Avenue,"Palatka, FL",-121.882639,37.658152,PLS
703,Platform with Shelter,TRAIN,8110,NJ,Pennsauken,215 Derousse Avenue,"Pinkerton, CO",-75.062022,39.978052,PNK
704,Station Building (with waiting room),TRAIN,48342,MI,Pontiac,51000 Woodward Avenue,"Pontiac, MI",-83.292325,42.632771,PNT
705,Platform with Shelter,TRAIN,53901,WI,Portage,400 West Oneida Street,"Poplar Bluff, MO",-89.467627,43.547079,POG
706,Station Building (with waiting room),TRAIN,12974,NY,Port Henry,20 Park Place,"Portsmouth, NH",-73.458753,44.042297,POH
707,Station Building (with waiting room),TRAIN,61764,IL,Pontiac,711 West Water Street,Pontiac,-88.637198,40.878687,PON
708,Station Building (with waiting room),TRAIN,4102,ME,Portland,100 Thompson's Point Road,Portland Transportation Center,-70.291258,43.654097,POR
709,Platform only (no shelter),TRAIN,91768,CA,Pomona,100 West Commercial Street,"Possum Kingdom, TX",-117.750621,34.059224,POS
710,Station Building (with waiting room),TRAIN,12601,NY,Poughkeepsie,41 Main Street,Poughkeepsie,-73.93749,41.707056,POU
711,Platform only (no shelter),TRAIN,93446,CA,Paso Robles,800 Pine Street,"Paso Robles, CA",-120.68786,35.622683,PRB
712,Station Building (with waiting room),TRAIN,25907,WV,Prince,5034 Stanaford Road,"Prescott, AZ",-81.060694,37.856594,PRC
